TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/7/11 19:10,Dataset 1,10/7/11 19:10,9.23,0.12351,0.23774833,9.172926762,9.183085683,0.998893736,-0.001106264,9.23,9,0.13,1343.63,1343.63,9.219789179,1339.82,1340.841912,1337.301689
10/7/11 19:20,Dataset 1,10/7/11 19:20,9.66,0.134576,0.126515781,9.166525609,9.058147968,1.011964658,0.011964658,9.66,10,0.13,1507.46,1507.46,9.775578595,1553.18,1483.778552,1524.346124
10/7/11 19:30,Dataset 1,10/7/11 19:30,9.52,0.122899,0.136144593,9.669450828,9.611380507,1.006041829,0.006041829,9.52,10,0.13,1454.12,1454.12,9.577518215,1476.98,1443.30489,1464.435129
10/7/11 19:40,Dataset 1,10/7/11 19:40,9.44,0.135593,0.245145744,9.029305798,8.993441511,1.003987827,0.003987827,9.44,9,0.13,1423.64,1423.64,9.477645085,1438.88,1409.181759,1422.742959
10/7/11 19:50,Dataset 1,10/7/11 19:50,9.27,0.139159,0.229038156,9.235589421,9.289357788,0.994211832,-0.005788168,9.27,9,0.13,1358.87,1358.87,9.216343678,1339.82,1350.570559,1333.901698
10/7/11 20:00,Dataset 1,10/7/11 20:00,9.06,0.142384,0.182383367,8.67589009,8.579313611,1.0112569,0.0112569,9.06,9,0.15,1278.86,1278.86,9.161987518,1316.96,1279.047853,1312.680493
10/7/11 20:10,Dataset 1,10/7/11 20:10,9.61,0.112383,0.186752029,9.226391888,9.231076501,0.999492517,-0.000507483,9.61,10,0.11,1488.41,1488.41,9.605123089,1488.41,1481.470555,1481.553272
10/7/11 20:20,Dataset 1,10/7/11 20:20,9.72,0.100823,0.20077611,9.700600235,9.696708355,1.000401361,0.000401361,9.72,10,0.11,1530.32,1530.32,9.723901229,1530.32,1529.771048,1529.759048
10/7/11 20:30,Dataset 1,10/7/11 20:30,8,0.1825,0.205669814,7.752493515,7.696619085,1.007259607,0.007259607,8,8,0.19,889,889,8.058076855,911.02,931.2844607,952.4328428
10/7/11 20:40,Dataset 1,10/7/11 20:40,8.52,0.132629,0.15478219,8.601884,8.489798839,1.013202334,0.013202334,8.52,9,0.13,1079.84,1079.84,8.632483887,1120.21,1093.300944,1131.922725
